('aahed', '6')
('aalii', '6')
('aargh', '6')
('aarti', '4')
('abaca', '5')
('abaci', '5')
('aback', '6')
('abacs', '5')
('abaft', '5')
('abaka', '4')
('abamp', '4')
('aband', '4')
('abase', '6')
('abash', '5')
('abask', '5')
('abate', '5')
('abaya', '5')
('abbas', '5')
('abbed', '6')
('abbes', '8')
('abbey', '5')
('abbot', '4')
('abcee', '5')
('abeam', '5')
('abear', '4')
('abele', '5')
('abers', '6')
('abets', '3')
('abhor', '5')
('abide', '4')
('abies', '4')
('abled', '3')
('abler', '3')
('ables', '4')
('ablet', '3')
('ablow', '5')
('abmho', '4')
('abode', '5')
('abohm', '4')
('aboil', '4')
('aboma', '6')
('aboon', '5')
('abord', '3')
('abore', '5')
('abort', '5')
('about', '4')
('above', '6')
('abram', '4')
('abray', '4')
('abrim', '4')
('abrin', '3')
('abris', '4')
('absey', '4')
('absit', '3')
('abuna', '5')
('abune', '4')
('abuse', '5')
('abuts', '4')
('abuzz', '4')
('abyes', '7')
('abysm', '5')
('abyss', '5')
('acais', '4')
('acari', '4')
('accas', '6')
('accoy', '5')
('acerb', '4')
('acers', '5')
('aceta', '4')
('achar', '6')
('ached', '4')
('aches', '6')
('achoo', '5')
('acids', '4')
('acidy', '4')
('acing', '5')
('acini', '5')
('ackee', '4')
('acker', '6')
('acmes', '5')
('acmic', '4')
('acned', '3')
('acnes', '5')
('acock', '5')
('acold', '4')
('acorn', '4')
('acred', '3')
('acres', '4')
('acrid', '4')
('acros', '3')
('acted', '5')
('actin', '4')
('acton', '3')
('actor', '4')
('acute', '4')
('acyls', '5')
('adage', '5')
('adapt', '4')
('adaws', '6')
('adays', '5')
('adbot', '4')
('addax', '4')
('added', '8')
('adder', '4')
('addio', '4')
('addle', '6')
('adeem', '4')
('adept', '4')
('adhan', '5')
('adieu', '3')
('adios', '4')
('adits', '4')
('adman', '4')
('admen', '3')
('admin', '3')
('admit', '4')
('admix', '4')
('adobe', '5')
('adobo', '4')
('adopt', '3')
('adore', '4')
('adorn', '4')
('adown', '4')
('adoze', '6')
('adrad', '5')
('adred', '4')
('adsum', '4')
('aduki', '5')
('adult', '3')
('adunc', '3')
('adust', '4')
('advew', '4')
('adyta', '4')
('adzed', '7')
('adzes', '3')
('aecia', '4')
('aedes', '3')
('aegis', '3')
('aeons', '3')
('aerie', '3')
('aeros', '2')
('aesir', '3')
('afald', '4')
('afara', '6')
('afars', '10')
('afear', '5')
('affix', '4')
('afire', '5')
('aflaj', '4')
('afoot', '6')
('afore', '6')
('afoul', '4')
('afrit', '5')
('afros', '5')
('after', '4')
('again', '5')
('agama', '5')
('agami', '4')
('agape', '5')
('agars', '8')
('agast', '4')
('agate', '6')
('agave', '6')
('agaze', '7')
('agene', '4')
('agent', '5')
('agers', '7')
('agger', '6')
('aggie', '4')
('aggri', '4')
('aggro', '5')
('aggry', '5')
('aghas', '7')
('agila', '4')
('agile', '4')
('aging', '9')
('agios', '4')
('agism', '5')
('agist', '3')
('agita', '4')
('aglee', '4')
('aglet', '4')
('agley', '3')
('agloo', '5')
('aglow', '4')
('aglus', '4')
('agmas', '6')
('agoge', '7')
('agone', '3')
('agons', '3')
('agony', '4')
('agood', '5')
('agora', '4')
